"Site Time","Nextracker 01: Tracker Position 1 (TrackerPos1) Degrees","Nextracker 01: Tracker Position 2 (TrackerPos2) Degrees","Nextracker 01: Tracker Position 3 (TrackerPos3) Degrees"
12-03-2024 10:45:00,-37.474,-37.463,-37.355
12-03-2024 11:00:00,-30.488,-30.36,-30.432
12-03-2024 11:15:00,-23.124,-23.122,-22.949
12-03-2024 11:30:00,-15.128,-15.998,-15.875
12-03-2024 11:45:00,-6.487,-6.158,-6.953
12-03-2024 12:00:00,0.873,1.393,1.82
12-03-2024 12:15:00,10.563,10.551,10.114
12-03-2024 12:30:00,18.559,18.587,18.335
12-03-2024 12:45:00,26.063,25.941,25.861
12-03-2024 13:00:00,33.724,34.004,33.293
12-03-2024 13:15:00,39.492,39.751,39.976
12-03-2024 13:30:00,45.971,45.648,46.053
12-03-2024 13:45:00,51.041,51.961,51.417
12-03-2024 14:00:00,55.973,56.599,56.193
12-03-2024 14:15:00,59.834,59.104,59.772
12-03-2024 14:30:00,59.95,59.22,59.86
12-03-2024 14:45:00,59.923,59.22,59.86
12-03-2024 15:00:00,59.9,59.22,59.9
12-03-2024 15:15:00,52.556,52.257,52.453
12-03-2024 15:30:00,34.348,34.448,34.531
12-03-2024 15:45:00,22.164,22.331,22.377
12-03-2024 16:00:00,5.832,5.965,6.046
12-03-2024 16:15:00,-0.38,-0.48,-0.36
12-03-2024 16:30:00,36.122,36.246,36.278
12-03-2024 16:45:00,57.09,57.32,57.21
12-03-2024 17:00:00,57.09,57.36,57.21
12-03-2024 17:15:00,57.09,57.33,57.21
12-03-2024 17:30:00,57.09,57.32,57.21
12-03-2024 17:45:00,57.09,57.32,57.21
12-03-2024 18:00:00,57.09,57.32,57.21
12-03-2024 18:15:00,57.09,57.32,57.21
12-03-2024 18:30:00,57.09,57.32,57.21
12-03-2024 18:45:00,57.09,57.32,57.21
12-03-2024 19:00:00,57.09,57.32,57.21
12-03-2024 19:15:00,57.09,57.32,57.21
12-03-2024 19:30:00,57.09,57.32,57.21
12-03-2024 19:45:00,57.09,57.32,57.21
12-03-2024 20:00:00,57.09,57.344,57.259
12-03-2024 20:15:00,57.09,57.32,57.21
12-03-2024 20:30:00,57.09,57.362,57.21
12-03-2024 20:45:00,57.09,57.33,57.21
12-03-2024 21:00:00,57.09,57.37,57.21
12-03-2024 21:15:00,57.09,57.32,57.21
12-03-2024 21:30:00,57.09,57.32,57.21
12-03-2024 21:45:00,57.09,57.32,57.21
12-03-2024 22:00:00,57.093,57.32,57.21
12-03-2024 22:15:00,57.138,57.32,57.234
12-03-2024 22:30:00,57.09,57.341,57.21
12-03-2024 22:45:00,57.09,57.406,57.21
12-03-2024 23:00:00,57.09,57.336,57.21
12-03-2024 23:15:00,57.09,57.32,57.21
12-03-2024 23:30:00,57.09,57.342,57.21
12-03-2024 23:45:00,57.09,57.396,57.244
12-04-2024 00:00:00,57.143,57.373,57.225
12-04-2024 00:15:00,57.09,57.387,57.21
12-04-2024 00:30:00,57.09,57.413,57.21
12-04-2024 00:45:00,57.09,57.406,57.21
12-04-2024 01:00:00,57.09,57.377,57.21
12-04-2024 01:15:00,57.09,57.363,57.21
12-04-2024 01:30:00,57.09,57.361,57.21
12-04-2024 01:45:00,57.09,57.344,57.21
12-04-2024 02:00:00,57.09,57.32,57.21
12-04-2024 02:15:00,57.09,57.32,57.21
12-04-2024 02:30:00,57.09,57.364,57.21
12-04-2024 02:45:00,57.09,57.353,57.21
12-04-2024 03:00:00,57.09,57.32,57.21
12-04-2024 03:15:00,57.09,57.32,57.21
12-04-2024 03:30:00,57.113,57.374,57.21
12-04-2024 03:45:00,57.21,57.362,57.21
12-04-2024 04:00:00,57.21,57.363,57.21
12-04-2024 04:15:00,57.21,57.387,57.21
12-04-2024 04:30:00,57.21,57.359,57.21
12-04-2024 04:45:00,57.21,57.32,57.234
12-04-2024 05:00:00,57.21,57.363,57.301
12-04-2024 05:15:00,57.21,57.353,57.219
12-04-2024 05:30:00,57.183,57.388,57.229
12-04-2024 05:45:00,57.21,57.39,57.246
12-04-2024 06:00:00,57.21,57.377,57.259
12-04-2024 06:15:00,57.21,57.388,57.269
12-04-2024 06:30:00,57.21,57.426,57.316
12-04-2024 06:45:00,57.21,57.363,57.242
