Timestamp (UTC),Wind Speed (m/s),Wind Gust Speed (m/s),Wind Dir (Deg),Snowfall Rate (mm/hr),Weather Code,trigger,stow_angle,stow_setpoint,tracker_theta,td,time_delta
2024-01-02 11:45:00,1.6,3.2,242,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 11:45:00,0 days 00:15:00
2024-01-02 12:00:00,1.6,3.2,242,0.0,801,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-02 12:00:00,0 days 00:15:00
2024-01-02 12:15:00,1.5,3.4,244,0.0,801,Ideal Tracking,-0.21168662380875958,-0.21168662380875958,-0.21168662380875958,2024-01-02 12:15:00,0 days 00:15:00
2024-01-02 12:30:00,1.4,3.6,245,0.0,801,Ideal Tracking,-2.634320767381695,-2.634320767381695,-2.634320767381695,2024-01-02 12:30:00,0 days 00:15:00
2024-01-02 12:45:00,1.3,3.8,246,0.0,802,Ideal Tracking,-5.350218424147002,-5.350218424147002,-5.350218424147002,2024-01-02 12:45:00,0 days 00:15:00
2024-01-02 13:00:00,1.2,4.0,248,0.0,802,Ideal Tracking,-8.329719608801824,-8.329719608801824,-8.329719608801824,2024-01-02 13:00:00,0 days 00:15:00
2024-01-02 13:15:00,1.3,4.3,244,0.0,802,Ideal Tracking,-11.640323052512187,-11.640323052512187,-11.640323052512187,2024-01-02 13:15:00,0 days 00:15:00
2024-01-02 13:30:00,1.4,4.6,241,0.0,801,Ideal Tracking,-15.424204488314572,-15.424204488314572,-15.424204488314572,2024-01-02 13:30:00,0 days 00:15:00
2024-01-02 13:45:00,1.5,4.9,238,0.0,801,Ideal Tracking,-19.937151738462468,-19.937151738462468,-19.937151738462468,2024-01-02 13:45:00,0 days 00:15:00
2024-01-02 14:00:00,1.6,5.2,234,0.0,801,Ideal Tracking,-25.691310889194,-25.691310889194,-25.691310889194,2024-01-02 14:00:00,0 days 00:15:00
2024-01-02 14:15:00,1.7,5.4,234,0.0,801,Ideal Tracking,-34.02789342021542,-34.02789342021542,-34.02789342021542,2024-01-02 14:15:00,0 days 00:15:00
2024-01-02 14:30:00,1.8,5.6,233,0.0,801,Ideal Tracking,-55.94289488499049,-55.94289488499049,-55.94289488499049,2024-01-02 14:30:00,0 days 00:15:00
2024-01-02 14:45:00,1.9,5.8,232,0.0,801,Ideal Tracking,-55.275856942388664,-55.275856942388664,-55.275856942388664,2024-01-02 14:45:00,0 days 00:15:00
2024-01-02 15:00:00,2.0,6.0,232,0.0,802,Ideal Tracking,-49.958126529973924,-49.958126529973924,-49.958126529973924,2024-01-02 15:00:00,0 days 00:15:00
2024-01-02 15:15:00,2.1,6.1,234,0.0,801,Ideal Tracking,-44.059672655599336,-44.059672655599336,-44.059672655599336,2024-01-02 15:15:00,0 days 00:15:00
2024-01-02 15:30:00,2.2,6.2,237,0.0,801,Ideal Tracking,-37.51607962484736,-37.51607962484736,-37.51607962484736,2024-01-02 15:30:00,0 days 00:15:00
2024-01-02 15:45:00,2.3,6.3,240,0.0,801,Ideal Tracking,-30.28919415836317,-30.28919415836317,-30.28919415836317,2024-01-02 15:45:00,0 days 00:15:00
2024-01-02 16:00:00,2.4,6.4,242,0.0,800,Ideal Tracking,-22.39087106169919,-22.39087106169919,-22.39087106169919,2024-01-02 16:00:00,0 days 00:15:00
2024-01-02 16:15:00,2.4,6.6,242,0.0,800,Ideal Tracking,-13.90798776708282,-13.90798776708282,-13.90798776708282,2024-01-02 16:15:00,0 days 00:15:00
2024-01-02 16:30:00,2.4,6.8,242,0.0,800,Ideal Tracking,-5.016244649831008,-5.016244649831008,-5.016244649831008,2024-01-02 16:30:00,0 days 00:15:00
2024-01-02 16:45:00,2.4,7.0,242,0.0,800,Ideal Tracking,4.032396562574604,4.032396562574604,4.032396562574604,2024-01-02 16:45:00,0 days 00:15:00
2024-01-02 17:00:00,2.4,7.2,242,0.0,800,Ideal Tracking,12.953459684896902,12.953459684896902,12.953459684896902,2024-01-02 17:00:00,0 days 00:15:00
2024-01-02 17:15:00,2.4,7.2,243,0.0,801,Ideal Tracking,21.489039983906757,21.489039983906757,21.489039983906757,2024-01-02 17:15:00,0 days 00:15:00
2024-01-02 17:30:00,2.4,7.2,244,0.0,801,Ideal Tracking,29.45427171752322,29.45427171752322,29.45427171752322,2024-01-02 17:30:00,0 days 00:15:00
2024-01-02 17:45:00,2.4,7.2,245,0.0,801,Ideal Tracking,36.75325323204027,36.75325323204027,36.75325323204027,2024-01-02 17:45:00,0 days 00:15:00
2024-01-02 18:00:00,2.4,7.2,246,0.0,801,Ideal Tracking,43.3673550191283,43.3673550191283,43.3673550191283,2024-01-02 18:00:00,0 days 00:15:00
2024-01-02 18:15:00,2.5,7.0,247,0.0,802,Ideal Tracking,49.33068398593535,49.33068398593535,49.33068398593535,2024-01-02 18:15:00,0 days 00:15:00
2024-01-02 18:30:00,2.6,6.8,248,0.0,802,Ideal Tracking,54.70583086083489,54.70583086083489,54.70583086083489,2024-01-02 18:30:00,0 days 00:15:00
2024-01-02 18:45:00,2.7,6.6,249,0.0,802,Ideal Tracking,59.56598700342857,59.56598700342857,59.56598700342857,2024-01-02 18:45:00,0 days 00:15:00
2024-01-02 19:00:00,2.8,6.4,250,0.0,802,Ideal Tracking,35.29555837948376,35.29555837948376,35.29555837948376,2024-01-02 19:00:00,0 days 00:15:00
2024-01-02 19:15:00,2.6,5.8,248,0.0,802,Ideal Tracking,26.47364168753606,26.47364168753606,26.47364168753606,2024-01-02 19:15:00,0 days 00:15:00
2024-01-02 19:30:00,2.4,5.2,246,0.0,802,Ideal Tracking,20.52422688836004,20.52422688836004,20.52422688836004,2024-01-02 19:30:00,0 days 00:15:00
2024-01-02 19:45:00,2.2,4.6,244,0.0,802,Ideal Tracking,15.905167783804814,15.905167783804814,15.905167783804814,2024-01-02 19:45:00,0 days 00:15:00
2024-01-02 20:00:00,2.0,4.0,242,0.0,802,Ideal Tracking,12.055557567195592,12.055557567195592,12.055557567195592,2024-01-02 20:00:00,0 days 00:15:00
2024-01-02 20:15:00,2.0,4.0,236,0.0,802,Ideal Tracking,8.700950151664912,8.700950151664912,8.700950151664912,2024-01-02 20:15:00,0 days 00:15:00
2024-01-02 20:30:00,2.0,4.0,231,0.0,802,Ideal Tracking,5.689461906584128,5.689461906584128,5.689461906584128,2024-01-02 20:30:00,0 days 00:15:00
2024-01-02 20:45:00,2.0,4.0,226,0.0,802,Ideal Tracking,2.9449307320851545,2.9449307320851545,2.9449307320851545,2024-01-02 20:45:00,0 days 00:15:00
2024-01-02 21:00:00,2.0,4.0,220,0.0,802,Ideal Tracking,0.48368473557557934,0.48368473557557934,0.48368473557557934,2024-01-02 21:00:00,0 days 00:15:00
